x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.702199361,0.367879061,0.532891552,0.669065191,0.066522014,-0.200086986,0.016895893,0.053208456,0.02302315,-0.031898661,0.0063694,-0.02822177
0.981625671,0.251598279,0.989728591,0.688524105,0.066537532,-0.184512255,0.007334128,0.057618886,0.007046896,-0.034639554,0.014447728,-0.034701634
0.164025811,0.435709909,0.906535097,0.354241582,0.170488987,-0.605620184,0.097373461,0.10902041,-0.007377404,-0.085462746,-0.071362956,-0.140757606
0.59162433,0.617832512,0.729018425,0.533674764,0.123272263,-0.384333409,0.03476733,0.074679648,0.023961264,-0.068844472,-0.033408417,-0.073992629
0.010407591,0.893833812,0.240371288,0.220119231,0.26219171,-0.975854946,0.197907782,0.012940243,0.133780885,-0.129471681,-0.278217956,-0.210596156
0.592183054,0.93329289,0.151428611,0.617786001,0.090647752,-0.26263113,0.027451886,0.041902495,0.050472193,-0.043915758,-0.032859631,-0.024126671
0.733946823,0.471869943,0.542096853,0.154554767,0.447543769,-1.96005476,-0.043914227,0.186537757,0.062203987,-0.548822267,-0.475381683,-0.544485536
0.660571361,0.010849471,0.481566216,0.483181773,0.085643967,-0.294828355,0.018842282,0.085010297,0.0292972,-0.054260249,0.025975629,-0.04838366
0.423419385,0.23104496,0.767094578,0.004940815,0.835680871,-5.042678352,0.133611205,0.457005032,-0.429662243,-1.617608179,-1.389050062,-1.418061085
0.502792085,0.927882294,0.913626737,0.337884406,0.256936825,-0.787238166,0.073226604,0.054169811,-0.016551718,-0.197657184,-0.207106071,-0.217460403
0.934737762,0.348884848,0.486929439,0.402994736,0.156056938,-0.533392486,-0.003793078,0.11436755,0.049716998,-0.119401065,-0.035678103,-0.103654297
0.832500751,0.792845733,0.707625997,0.888678533,0.053512525,-0.138614061,0.013068867,0.034882518,0.01600313,-0.020305955,-0.000759227,-0.018711845
0.650658937,0.110089085,0.776343536,0.556840989,0.079380329,-0.252938305,0.019980929,0.073964821,0.013798246,-0.044162627,0.019726718,-0.04679358
0.16410903,0.763423143,0.408237742,0.547083137,0.097467272,-0.30602526,0.053985007,0.050791607,0.039058986,-0.031238842,-0.034671724,-0.045487488
0.793622451,0.035416278,0.049549218,0.665345744,0.040566659,-0.123248928,0.008237091,0.039781862,0.024725158,-0.020486652,0.016853049,-0.00708935
0.255903151,0.655633889,0.772249775,0.646837589,0.079061316,-0.233558887,0.03927046,0.050162394,0.016511019,-0.024571846,-0.01225107,-0.040629703
0.829413208,0.748409819,0.745027948,0.29485495,0.294132997,-0.968359653,-0.009327917,0.092123248,0.013449236,-0.269622806,-0.241065375,-0.269303658
0.155837462,0.958041096,0.324731164,0.060005983,0.553654114,-2.16666289,0.360911686,-0.301850979,0.210094125,-0.657705003,-0.728404797,-0.813249236
0.187736345,0.343377079,0.215695186,0.040704454,0.623144098,-3.923394768,0.378305166,0.255118432,0.348339361,-0.842117196,-0.967336042,-0.877060139
0.427039789,0.936071343,0.86092869,0.045685224,0.638816572,-1.859323442,0.128164453,-0.372356525,-0.340535702,-1.054517431,-0.86318981,-0.8987005
0.577269315,0.052249469,0.300484882,0.704898496,0.039523479,-0.120152755,0.012988862,0.03844217,0.018716949,-0.016426505,0.016695323,-0.011831423
0.996260397,0.692597635,0.305076493,0.947181493,0.038044371,-0.097834933,0.007164749,0.027039589,0.018147067,-0.014539831,0.00332893,-0.007233036
0.717142594,0.984021186,0.982471531,0.086258352,0.524021672,-1.127265884,-0.101984351,-0.242722744,-0.30872734,-0.759346979,-0.66676775,-0.597308333
0.515474448,0.933023915,0.500078099,0.527729714,0.135232338,-0.407577719,0.044535702,0.054114822,0.045874267,-0.072273624,-0.06528576,-0.071378722
