x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.242483628,0.239517549,0.244916187,0.874337848,0.024202564,-0.068317954,0.012182181,0.02162463,0.012155999,-0.00463122,0.008558253,-0.004657548
0.049537429,0.900292659,0.788287647,0.455003914,0.142582778,-0.435448958,0.091562561,0.051543405,0.016858678,-0.042323133,-0.082489133,-0.099128643
0.364495789,0.657488807,0.640257019,0.515803542,0.120855518,-0.38721295,0.051393165,0.068974621,0.029633494,-0.057052982,-0.03954248,-0.071641587
0.442240819,0.885942948,0.544068056,0.170189102,0.440220319,-1.665647334,0.119407506,-0.023868452,0.066066738,-0.491447281,-0.522541824,-0.513920888
0.265044386,0.070181564,0.294128588,0.559380374,0.056207371,-0.188326189,0.027581307,0.053770494,0.026571432,-0.02118815,0.016716798,-0.02216111
0.91053258,0.497742767,0.173067733,0.542973844,0.095470515,-0.297609922,0.007972669,0.06550751,0.052366408,-0.059531979,-0.015249507,-0.03147434
0.936245597,0.416363485,0.880273271,0.139530767,0.430266,-1.563902358,-0.163871912,0.200313624,-0.132959092,-0.489875006,-0.459030031,-0.511201077
0.169882407,0.529511773,0.377336061,0.088643411,0.530586288,-2.795587924,0.328057242,0.115766927,0.165538113,-0.580564535,-0.758140877,-0.731753302
0.1398796,0.998766676,0.92603356,0.350195221,0.213700518,-0.637109548,0.126454536,0.035894241,-0.013501184,-0.103197994,-0.171996859,-0.177172862
0.906595117,0.981999726,0.624443726,0.752624759,0.084356901,-0.220523149,0.014556786,0.043046105,0.02642634,-0.039556086,-0.020102228,-0.033789499
0.812454099,0.889235966,0.109075863,0.369991181,0.192670065,-0.613931086,0.008940186,0.054499429,0.118232007,-0.154966457,-0.139965367,-0.08282821
0.595099756,0.140155103,0.418252225,0.532862435,0.07862612,-0.263232773,0.02198316,0.071587941,0.030863926,-0.044070778,0.014962708,-0.038101736
0.393968271,0.668741929,0.816849425,0.027716482,0.770569616,-3.346474105,0.185553098,-0.157197091,-0.401123223,-1.342650275,-1.355263057,-1.17852508
0.398909677,0.334740062,0.327788968,0.90465614,0.027067756,-0.075053047,0.011788488,0.023144223,0.012622103,-0.006587037,0.008068283,-0.005835256
0.987936055,0.92892128,0.105291634,0.950468508,0.039710443,-0.099344497,0.007650083,0.024346493,0.022248634,-0.015065798,-0.001612713,-0.004074282
0.975174686,0.887107475,0.727559976,0.31922339,0.279058343,-0.822177901,-0.038227092,0.061608791,0.022468719,-0.239885415,-0.231520381,-0.243312896
0.192159531,0.430495453,0.08944266,0.738714163,0.037687914,-0.111642094,0.019946341,0.029483078,0.021904028,-0.008502446,0.004005419,-0.006328542
0.919617286,0.671753082,0.996312243,0.792565586,0.068880188,-0.179345502,0.012319968,0.046689508,0.009786428,-0.030830424,-0.001386129,-0.031643537
0.110893655,0.427656286,0.029757232,0.776427244,0.031076616,-0.090180589,0.017644134,0.02460265,0.018872397,-0.00512057,0.004339112,-0.003677301
0.190242176,0.555052995,0.886533996,0.205879418,0.321540354,-1.263025834,0.181844337,0.125795679,-0.063709541,-0.249818957,-0.303444605,-0.340036116
0.174671787,0.965931629,0.669447074,0.981572398,0.035882374,-0.090934437,0.019038547,0.021810964,0.011830805,-0.004466195,-0.001309997,-0.010666965
0.294322713,0.765615611,0.846053216,0.859387075,0.048507954,-0.129053616,0.023284972,0.031769681,0.011222763,-0.010685162,-0.001055344,-0.019266012
0.463318105,0.698369236,0.127477905,0.294712125,0.224672165,-0.851916659,0.06834345,0.080647348,0.137603837,-0.185440662,-0.177281362,-0.121952652
0.899900398,0.746205517,0.651886146,0.421469581,0.193626899,-0.600515535,0.003109876,0.086037915,0.038868927,-0.144131489,-0.105950578,-0.136378836
0.784920714,0.137129008,0.9018649,0.324331807,0.183360619,-0.652499284,0.006291174,0.161470781,-0.01237657,-0.159413665,-0.017435335,-0.158794118
0.897898539,0.825778206,0.652193705,0.472615194,0.1716445,-0.509938136,0.008873812,0.073569972,0.038055238,-0.11830742,-0.087232749,-0.110328972
0.651938094,0.852758227,0.504623922,0.882243842,0.050105626,-0.132220889,0.016159252,0.031236906,0.019418828,-0.016915275,-0.002652947,-0.014600776
0.167073045,0.205847537,0.512544201,0.719703349,0.039848889,-0.120162131,0.02162834,0.03561935,0.014529962,-0.008807973,0.011291784,-0.015248938
0.558297677,0.556180415,0.839692208,0.52656238,0.122221067,-0.381304138,0.036849462,0.078453196,0.014705497,-0.067583602,-0.028334876,-0.076924309
0.606645117,0.628393728,0.198636069,0.327135443,0.208694305,-0.773257429,0.039865058,0.09507956,0.113633846,-0.173186769,-0.13748431,-0.118928326
0.722782182,0.405324849,0.834258472,0.177095573,0.391826149,-1.572297707,-0.020956911,0.205899526,-0.072092217,-0.457589265,-0.350512637,-0.44544588
0.202811009,0.776726501,0.086326371,0.652452658,0.061850578,-0.18357474,0.032542364,0.035233679,0.036534065,-0.017146049,-0.014196898,-0.012688007
0.121299425,0.032186112,0.399529229,0.930212942,0.017177289,-0.047474339,0.009525224,0.016943065,0.007500491,-0.001995231,0.009434834,-0.004002098
0.34976918,0.318195793,0.853292013,0.283001307,0.225769267,-0.879621264,0.091754465,0.158378409,-0.014886906,-0.174500777,-0.100687194,-0.210808916
0.476653329,0.094304562,0.002161349,0.922656409,0.017960781,-0.049518301,0.007244643,0.017238582,0.010878379,-0.004735968,0.008887262,-0.001069409
0.030690486,0.403814829,0.720612584,0.861132552,0.031052198,-0.085777594,0.018590559,0.025409605,0.008950126,-0.002843286,0.006819126,-0.011393539
0.911963135,0.068688602,0.500499146,0.606600282,0.063620159,-0.195875303,0.007227902,0.061069389,0.022507727,-0.036314102,0.021485624,-0.029172416
0.80266792,0.700934164,0.905446983,0.41747521,0.196201792,-0.600204135,0.016873583,0.09318333,0.001767826,-0.145521945,-0.102716958,-0.146957164
0.990618501,0.779973788,0.541098818,0.868620901,0.054629958,-0.141648637,0.00923023,0.035584214,0.0202068,-0.02285891,-0.001240019,-0.01694425
0.785295395,0.958374026,0.475567833,0.768626595,0.073940616,-0.197419451,0.017542153,0.039157131,0.028783488,-0.032132455,-0.015557616,-0.025089477
0.646593501,0.776213866,0.504611423,0.090460235,0.620239414,-2.559894549,-0.051130882,-0.086801209,0.07819829,-0.906668691,-0.898736136,-0.901024732
