x,y,z,t,u
0.769455131,0.949436302,0.155863716,0.01310069,0.654149515
0.467315789,0.050547083,0.231683814,0.934974635,0.023092462
0.485218066,0.590428791,0.97175519,0.691317453,0.06723342
0.901795979,0.07518118,0.629846579,0.41838722,0.104274931
0.154644642,0.770266441,0.984458301,0.667727173,0.072875951
0.266690666,0.429573531,0.058543611,0.734724019,0.052846066
0.407483812,0.186017231,0.280733513,0.179284515,0.307278222
0.634176355,0.476371618,0.848320488,0.063867955,0.651812331
0.974013687,0.231193801,0.919885353,0.347012713,0.162643741
0.854585406,0.831755045,0.312329505,0.666991062,0.102669325
0.170760802,0.656812419,0.401820507,0.812298723,0.034460491
0.752523724,0.471600811,0.674798957,0.592344676,0.090352016
0.701956858,0.840427447,0.632832849,0.973094506,0.035853916
0.752160163,0.648636987,0.497611585,0.361715393,0.223403119
0.298913677,0.205517382,0.776235676,0.809075797,0.035929595
0.946361553,0.52370979,0.630922228,0.967162187,0.037285298
0.228552955,0.274356702,0.98630397,0.006512432,0.815027259
0.797071411,0.27879025,0.814025706,0.036553704,0.660002956
0.959462622,0.850914095,0.382569968,0.752102311,0.076585795
0.119078151,0.858531144,0.27196053,0.245371829,0.284368236
0.326990219,0.325001079,0.920339194,0.672764019,0.059638733
0.530205346,0.065044729,0.88687131,0.808636263,0.035672908
0.163984368,0.809437281,0.741553578,0.694118379,0.070610716
0.557061753,0.551297361,0.009889245,0.330142206,0.20723239
0.96954912,0.335641474,0.479599503,0.615450612,0.082188164
0.406246246,0.431257593,0.281241007,0.940458636,0.023185654
0.384735197,0.179456256,0.890486271,0.413396834,0.122732247
0.840291048,0.094889986,0.539346415,0.834788451,0.03455947
0.998265902,0.310578907,0.437150757,0.430678588,0.143646512
0.769665784,0.739169109,0.545360514,0.609513973,0.091382681
0.221799395,0.778912535,0.964410703,0.157136499,0.343058612
0.581697954,0.034489141,0.07158631,0.246608152,0.215217525
0.411709213,0.11910504,0.963478529,0.163683609,0.331144999
